Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
2017-04-11,1.06063,109.658,1.00735,1.2488,1.3337,0.84917,116.31,1.06839,0.74922,136.951,108.851,1.25816,0.69519
2017-04-12,1.06415,109.315,1.00502,1.25263,1.32809,0.84949,116.32,1.06955,0.75008,136.898,108.75,1.25892,0.6949
2017-04-13,1.06147,109.161,1.0061,1.25024,1.33246,0.84893,115.865,1.06799,0.75694,136.472,108.471,1.25789,0.6996
2017-04-14,1.0623,108.598,1.00365,1.25297,1.3316,0.8475,115.381,1.0664,0.75779,136.074,108.173,1.25747,0.7004
2017-04-17,1.06395,108.901,1.00475,1.256,1.33133,0.8471,115.894,1.06901,0.75874,136.811,108.39,1.26186,0.70047
2017-04-18,1.07351,108.365,0.99554,1.28484,1.33794,0.83544,116.331,1.06874,0.7557,139.238,108.83,1.27912,0.70411
2017-04-19,1.07159,108.837,0.99769,1.27794,1.34859,0.83853,116.635,1.06913,0.7496,139.088,109.074,1.27495,0.69984
2017-04-20,1.07232,109.244,0.99778,1.28192,1.3472,0.83644,117.151,1.06989,0.75272,140.041,109.476,1.27911,0.70131
2017-04-21,1.06968,109.106,0.99786,1.28016,1.35075,0.83553,116.709,1.06736,0.7539,139.667,109.33,1.27737,0.70267
2017-04-24,1.08574,109.792,0.99637,1.27874,1.35101,0.849,119.21,1.0817,0.75597,140.396,110.18,1.27412,0.70111
2017-04-25,1.0929,111.109,0.9933,1.2828,1.35763,0.8519,121.423,1.0858,0.75348,142.5,111.799,1.27443,0.6943
2017-04-26,1.08969,111.384,0.99408,1.28406,1.36139,0.8485,121.36,1.08324,0.747,143.022,112.04,1.27639,0.68862
2017-04-27,1.0883,111.193,0.99333,1.29065,1.36118,0.84314,121.01,1.08103,0.74736,143.509,111.92,1.28204,0.68808
2017-04-28,1.08988,111.423,0.99367,1.29535,1.36557,0.84116,121.439,1.08302,0.74884,144.305,112.107,1.2873,0.68695
2017-05-01,1.09013,111.79,0.99591,1.28896,1.36731,0.84568,121.897,1.08564,0.75328,144.113,112.231,1.28365,0.69104
2017-05-02,1.09238,112.013,0.99216,1.2927,1.3722,0.84486,122.38,1.0839,0.75272,144.804,112.9,1.28255,0.69324
2017-05-03,1.08895,112.69,0.9941,1.28716,1.37181,0.84596,122.71,1.08265,0.74207,145.047,113.33,1.27966,0.68677
2017-05-04,1.09836,112.431,0.9867,1.29221,1.37618,0.84991,123.496,1.08383,0.74048,145.283,114.04,1.27503,0.68615
2017-05-05,1.09938,112.554,0.98705,1.2976,1.36559,0.84719,123.74,1.08514,0.74185,146.051,114.01,1.28083,0.6914
2017-05-08,1.09318,113.069,0.9981,1.29421,1.36963,0.84463,123.606,1.0912,0.73882,146.331,113.25,1.2918,0.69145
2017-05-09,1.08703,114.175,1.0086,1.29287,1.37252,0.84064,124.105,1.09643,0.73374,147.591,113.18,1.30415,0.68918
2017-05-10,1.08662,114.277,1.0087,1.2947,1.36677,0.83921,124.15,1.09612,0.73629,147.94,113.28,1.306,0.69338
2017-05-11,1.0862,113.834,1.0076,1.28931,1.36892,0.84238,123.643,1.09445,0.73756,146.766,112.961,1.2991,0.68542
2017-05-12,1.09234,113.349,1.00213,1.28828,1.3711,0.84782,123.809,1.09469,0.73917,146,113.107,1.29101,0.68586
2017-05-15,1.09791,113.693,0.9961,1.28956,1.36452,0.85132,124.828,1.0938,0.7416,146.605,114.1,1.28458,0.6875
2017-05-16,1.10904,113.005,0.985,1.292,1.35801,0.8584,125.33,1.09261,0.74353,145.998,114.707,1.27264,0.68903
2017-05-17,1.11459,111.111,0.97924,1.2954,1.36195,0.8601,123.842,1.09139,0.74249,143.947,113.41,1.26865,0.69325
2017-05-18,1.10997,111.481,0.9802,1.29358,1.36061,0.85799,123.72,1.0881,0.74155,144.21,113.69,1.2679,0.6889
2017-05-19,1.12033,111.215,0.97308,1.30331,1.35154,0.85952,124.597,1.09016,0.74556,144.903,114.25,1.26819,0.69324
2017-05-22,1.12334,111.205,0.97331,1.2994,1.35079,0.86428,124.923,1.0933,0.7473,144.528,114.22,1.26488,0.69897
2017-05-23,1.1188,111.668,0.97479,1.2971,1.35026,0.8624,124.943,1.09075,0.7483,144.849,114.542,1.26434,0.70103
2017-05-24,1.12107,111.626,0.97392,1.29549,1.34196,0.86534,125.144,1.09184,0.74908,144.611,114.59,1.26185,0.70409
2017-05-25,1.12131,111.771,0.97277,1.29409,1.34724,0.86642,125.33,1.09072,0.74594,144.637,114.88,1.25883,0.70276
2017-05-26,1.1175,111.242,0.9744,1.2809,1.34495,0.87226,124.306,1.08899,0.74492,142.499,114.13,1.24843,0.70703
2017-05-29,1.11799,111.275,0.97548,1.28465,1.34315,0.87019,124.406,1.09053,0.74475,142.941,114.05,1.2531,0.70639
2017-05-30,1.11921,110.748,0.9738,1.28599,1.34593,0.87025,123.953,1.09014,0.7467,142.429,113.689,1.25265,0.70998
2017-05-31,1.12407,110.655,0.96787,1.28842,1.35084,0.87236,124.381,1.08797,0.743,142.568,114.23,1.24707,0.7094
2017-06-01,1.12142,111.31,0.97125,1.28828,1.35127,0.87045,124.83,1.0892,0.73815,143.397,114.59,1.25125,0.70668
2017-06-02,1.12751,110.456,0.96333,1.28799,1.34959,0.87537,124.541,1.08625,0.7436,142.261,114.637,1.2406,0.71409
2017-06-05,1.12544,110.496,0.96521,1.29083,1.34707,0.8718,124.356,1.08628,0.74866,142.63,114.47,1.24594,0.71419
2017-06-06,1.12745,109.482,0.96209,1.28967,1.34511,0.87425,123.441,1.08475,0.75081,141.191,113.78,1.24075,0.71821
2017-06-07,1.12555,109.794,0.9649,1.2949,1.35192,0.8691,123.577,1.08614,0.75474,142.172,113.76,1.24954,0.71897
2017-06-08,1.12117,110.018,0.96775,1.29412,1.35053,0.8663,123.352,1.08496,0.7546,142.374,113.656,1.25233,0.7214
2017-06-09,1.11945,110.242,0.96938,1.27265,1.34625,0.87954,123.41,1.08516,0.75317,140.304,113.705,1.23368,0.72069
2017-06-12,1.1206,109.828,0.96844,1.26555,1.33296,0.8853,123.074,1.08526,0.75437,138.994,113.396,1.22554,0.72068
2017-06-13,1.1207,110.002,0.96876,1.2752,1.32359,0.87884,123.283,1.0857,0.75397,140.271,113.52,1.2352,0.72237
2017-06-14,1.11961,109.806,0.97328,1.27326,1.32678,0.87926,122.93,1.08972,0.757,139.797,112.803,1.23931,0.72445
2017-06-15,1.11507,110.867,0.9749,1.27605,1.32725,0.87378,123.625,1.08716,0.75814,141.47,113.701,1.24409,0.721
2017-06-16,1.11964,110.813,0.97328,1.27889,1.32144,0.87541,124.072,1.08974,0.76256,141.714,113.845,1.24472,0.72565
2017-06-19,1.11471,111.578,0.97578,1.27293,1.32234,0.87564,124.382,1.08763,0.75944,142.031,114.35,1.24209,0.72274
2017-06-20,1.11272,111.456,0.9753,1.2629,1.3265,0.8809,124.025,1.08535,0.7578,140.767,114.24,1.23184,0.72423
2017-06-21,1.1165,111.345,0.97256,1.2669,1.33144,0.8811,124.317,1.086,0.75575,141.077,114.47,1.23227,0.72296
2017-06-22,1.11528,111.301,0.97157,1.26862,1.32322,0.87914,124.142,1.08366,0.75446,141.197,114.54,1.23254,0.72678
2017-06-23,1.11983,111.222,0.969,1.2725,1.3261,0.88,124.55,1.08525,0.75731,141.526,114.756,1.23316,0.7288
2017-06-26,1.11793,111.899,0.97246,1.27177,1.32527,0.87898,125.098,1.08715,0.75828,142.307,115.05,1.23672,0.7284
2017-06-27,1.13478,112.136,0.95928,1.28236,1.31507,0.88486,127.256,1.08866,0.75932,143.802,116.89,1.23013,0.72818
2017-06-28,1.13785,112.241,0.95942,1.2928,1.30308,0.88008,127.71,1.09168,0.7639,145.104,116.97,1.24023,0.73099
2017-06-29,1.1436,112.062,0.956,1.2996,1.30027,0.8799,128.167,1.09354,0.768,145.638,117.19,1.2424,0.7292
2017-06-30,1.1418,112.456,0.95905,1.3017,1.29651,0.87712,128.419,1.09518,0.76845,146.4,117.237,1.2485,0.73243
2017-07-03,1.13621,113.405,0.96369,1.29462,1.30019,0.87758,128.853,1.0949,0.76523,146.813,117.64,1.2473,0.7293
2017-07-04,1.13492,113.167,0.9646,1.2936,1.2928,0.8771,128.417,1.095,0.76142,146.39,117.27,1.2479,0.72966
2017-07-05,1.1339,113.232,0.96505,1.29254,1.29852,0.87728,128.402,1.0943,0.75917,146.35,117.322,1.2471,0.72743
2017-07-06,1.14197,113.231,0.96074,1.29668,1.29645,0.88062,129.3,1.0971,0.75879,146.8,117.85,1.24572,0.7273
